대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0000074	72	0205241	공학계열	전자융합공학과	7.93 : 1	8.19 : 1
0000074	73	0002453	공학계열	전기공학과	7.33 : 1	6.5 : 1
0000074	75	0230162	공학계열	전자재료공학과	8.61 : 1	8.31 : 1
0000074	70	0003123	공학계열	로봇학부	10.15 : 1	6.03 : 1
0000074	90	0220332	공학계열	컴퓨터정보공학부	11.43 : 1	6.06 : 1
0000074	98	0220221	공학계열	소프트웨어학부	14.16 : 1	6.1 : 1
0000074	93	0220218	공학계열	정보융합학부	10.39 : 1	8.44 : 1
0000074	32	0002128	공학계열	건축학과	15.84 : 1	6.93 : 1
0000075	41	0019583	인문사회계열	신학과	0.46 : 1	0.13 : 1
0000252	354	0012463	인문사회계열	초등교육과	5.57 : 1	3.19 : 1
0000231	0	0233026	자연과학계열	보건복지대학	0 : 1	0.27 : 1
0000231	0	0236014	예체능계열	문화산업대학(예체능)	0 : 1	1.02 : 1
0000231	0	0236015	인문사회계열	문화산업대학(문화)	0 : 1	0.38 : 1
0000231	0	U013403	인문사회계열	인문사회과학대학(인문)	0 : 1	0.53 : 1
0000231	0	U013404	인문사회계열	인문사회과학대학(경영)	0 : 1	0 : 1
0000231	210	0009520	자연과학계열	간호학과	7.86 : 1	3.91 : 1
0000231	48	0009842	자연과학계열	작업치료학과	4.36 : 1	0.67 : 1
0000231	70	0016208	인문사회계열	사회복지학부	4.97 : 1	0 : 1
0000231	20	0236016	자연과학계열	언어재활상담학과	1.93 : 1	0 : 1
0000231	25	0020762	자연과학계열	식품영양학과	3.51 : 1	0 : 1
0000076	106	0233022	인문사회계열	항공서비스학부	2.4 : 1	0 : 1
0000076	20	U013369	인문사회계열	무도경호학과	0 : 1	0 : 1
0000076	30	0233021	인문사회계열	경찰행정학과	2.91 : 1	0 : 1
0000076	30	0013929	인문사회계열	사회복지학과	4.13 : 1	0 : 1
0000076	25	0010787	인문사회계열	상담심리학과	2.84 : 1	0 : 1
